"t"	"thtlc"	"el"	"ail"	"rdr"	"vt"	"alpha"	"beta"	"phi"	"theta"	"psi"	"p"	"q"	"r"	"x9"	"x10"	"alt"	"power"	"nz"	"ps"	"ny_r"
2.100000000000000e-01	0.000000000000000e+00	-3.743870449532383e-02	-1.364903943171314e-03	2.542711722269675e-03	5.463804490745016e+02	2.411100430933418e-02	2.415123873344554e-03	7.874426258040997e-01	-1.257605284863659e+00	-7.875679646440913e-01	-1.412191432154493e-04	-3.377798207946544e-03	2.825808267963609e-03	2.148499435187571e+01	-2.485139222358720e+01	3.490761413948825e+03	7.295258200182900e+00	2.658050304187759e-02	-2.188769552140835e-05	2.782241470055209e-04
2.200000000000000e-01	0.000000000000000e+00	-3.805014372406395e-02	-1.398676160102430e-03	2.712848421746910e-03	5.466811977138788e+02	2.359571808820746e-02	2.506383744506729e-03	7.874426210060090e-01	-1.257647241162833e+00	-7.875694266431252e-01	-1.383277176210076e-04	-2.598231685264458e-03	3.057088743775647e-03	2.254577775148169e+01	-2.603424142314540e+01	3.485532149894224e+03	7.222669168477974e+00	2.713846905325838e-02	-2.372586163959927e-05	3.060665699934791e-04
2.300000000000000e-01	0.000000000000000e+00	-3.863217816960905e-02	-1.429589900738849e-03	2.885450256420511e-03	5.469816456447303e+02	2.309321303509784e-02	2.594987221875330e-03	7.874199401386702e-01	-1.257685173350361e+00	-7.875470259950809e-01	-1.346760964661576e-04	-1.769120659101955e-03	3.292937413455663e-03	2.360975026453783e+01	-2.721704756435070e+01	3.480300382059695e+03	7.150802412983406e+00	2.764846025003377e-02	-2.558914911944977e-05	3.351385409798998e-04
2.400000000000000e-01	0.000000000000000e+00	-3.918503824846799e-02	-1.457702097503145e-03	3.060264459128392e-03	5.472817918150764e+02	2.260371765520907e-02	2.680901862241454e-03	7.873734484060593e-01	-1.257718775700313e+00	-7.874995615041540e-01	-1.303585621521786e-04	-8.946636388814985e-04	3.532833788500575e-03	2.467688910813563e+01	-2.839981111197464e+01	3.475066110470736e+03	7.079650745156888e+00	2.811257474015655e-02	-2.747165306445364e-05	3.654106034997192e-04
2.500000000000000e-01	0.000000000000000e+00	-3.970900325268641e-02	-1.483072060874884e-03	3.237040733651247e-03	5.475816354403365e+02	2.212742313535234e-02	2.764100344834172e-03	7.873021189004277e-01	-1.257747768739579e+00	-7.874259435314520e-01	-1.254922167569234e-04	2.107162815840041e-05	3.776266675989803e-03	2.574717281727770e+01	-2.958253245416696e+01	3.469829335379542e+03	7.009207047473463e+00	2.853288470035879e-02	-2.936563141197608e-05	3.968511101540926e-04
2.600000000000000e-01	0.000000000000000e+00	-4.020440117028497e-02	-1.505761698157932e-03	3.415531308145746e-03	5.478811760023924e+02	2.166448351065524e-02	2.844560455070907e-03	7.872050321744752e-01	-1.257771899120060e+00	-7.873251935812848e-01	-1.202170366060174e-04	9.741476113822007e-04	4.022734181134181e-03	2.682058124007800e+01	-3.076521190294629e+01	3.464590057264118e+03	6.939464273378375e+00	2.891143640372731e-02	-3.126154077220821e-05	4.294262313522843e-04
2.700000000000000e-01	0.000000000000000e+00	-4.067161248948407e-02	-1.525850911080766e-03	3.595493907115509e-03	5.481804131903957e+02	2.121502397533757e-02	2.922264232718714e-03	7.870813478361166e-01	-1.257790931605860e+00	-7.871964210825474e-01	-1.146477444651217e-04	1.960689923230137e-03	4.271742982603299e-03	2.789709524713873e+01	-3.194784972483178e+01	3.459348276772503e+03	6.870415446132437e+00	2.925026467882478e-02	-3.315448026123023e-05	4.631006914578239e-04
2.800000000000000e-01	0.000000000000000e+00	-4.111110621141558e-02	-1.543421197066197e-03	3.776687238916414e-03	5.484793469476758e+02	2.077912628793719e-02	2.997199354877085e-03	7.869303304459733e-01	-1.257804657564842e+00	-7.870388562727623e-01	-1.087647640082515e-04	2.976872569414550e-03	4.522807680804548e-03	2.897669708246128e+01	-3.313044610269343e+01	3.454103994783284e+03	6.802053664596063e+00	2.955141057165440e-02	-3.504952211317532e-05	4.978377711608967e-04
2.900000000000000e-01	0.000000000000000e+00	-4.152338905488262e-02	-1.558547792968795e-03	3.958872663180492e-03	5.487779774345561e+02	2.035683849482683e-02	3.069358359412749e-03	7.867513464995833e-01	-1.257812892572477e+00	-7.868518354272321e-01	-1.025439826123934e-04	4.019013524939722e-03	4.775454992715073e-03	3.005937026384528e+01	-3.431300113754875e+01	3.448857212392631e+03	6.734372096339746e+00	2.981688051231411e-02	-3.695062796396000e-05	5.335992915247370e-04
3.000000000000000e-01	0.000000000000000e+00	-4.190898819967294e-02	-1.571307020888361e-03	4.141816616865100e-03	5.490763049870679e+02	1.994818328621243e-02	3.138737861857806e-03	7.865438475158314e-01	-1.257815471053181e+00	-7.866347819303908e-01	-9.598860894272233e-05	5.083573347663803e-03	5.029224581181692e-03	3.114509937753778e+01	-3.549551486835134e+01	3.443607930877631e+03	6.667363974466907e+00	3.004863910802701e-02	-3.885960249698804e-05	5.703459047588482e-04
3.100000000000000e-01	0.000000000000000e+00	-4.226845128655888e-02	-1.581776288169927e-03	4.325290614252915e-03	5.493743301169513e+02	1.955315799613315e-02	3.205338555409728e-03	7.863073700369484e-01	-1.257812246280320e+00	-7.863872062758041e-01	-8.912917295260248e-05	6.167155178298759e-03	5.283669054920881e-03	3.223387007823316e+01	-3.667798727199091e+01	3.438356151696284e+03	6.601022597613908e+00	3.024860914314133e-02	-4.077609344315040e-05	6.080370942190018e-04
3.200000000000000e-01	0.000000000000000e+00	-4.260234641729739e-02	-1.590034087403756e-03	4.509071246951942e-03	5.496720535116541e+02	1.917173460246132e-02	3.269165210931353e-03	7.860415356285116e-01	-1.257803090376206e+00	-7.861087060661688e-01	-8.202352588358678e-05	7.266504740410396e-03	5.538353968518785e-03	3.332566908907322e+01	-3.786041826329324e+01	3.433101876487508e+03	6.535341329950044e+00	3.041867157913045e-02	-4.269759158082527e-05	6.466311744072378e-04
3.300000000000000e-01	0.000000000000000e+00	-4.291126215463002e-02	-1.596159996425343e-03	4.692940183895512e-03	5.499694760343323e+02	1.880385972690249e-02	3.330226676950896e-03	7.857460508794455e-01	-1.257787894312104e+00	-7.857989660133141e-01	-7.475684026541688e-05	8.378510340418383e-03	5.792857822431218e-03	3.442048420164711e+01	-3.904280769502026e+01	3.427845107071136e+03	6.470313601177543e+00	3.056066555459287e-02	-4.461943073587809e-05	6.860852909718654e-04
3.400000000000000e-01	0.000000000000000e+00	-4.319580746319390e-02	-1.600234723370492e-03	4.876684185284950e-03	5.502665987233030e+02	1.844945470512183e-02	3.388535870956114e-03	7.854207071743661e-01	-1.257766567856336e+00	-7.854577577378666e-01	-6.744124051423114e-05	9.500202572765536e-03	6.046772064973055e-03	3.551830427371465e+01	-4.022515535796915e+01	3.422585845447477e+03	6.405932906505806e+00	3.067638842487978e-02	-4.653482514888056e-05	7.263554281707434e-04
3.500000000000000e-01	0.000000000000000e+00	-4.345661780149841e-02	-1.602343527721566e-03	5.060096004240972e-03	5.505634227245664e+02	1.810842058691940e-02	3.444109086619265e-03	7.850653574716069e-01	-1.257739034793800e+00	-7.850849230433042e-01	-6.012888093158182e-05	1.062870285667235e-02	6.299701105350880e-03	3.661911903128313e+01	-4.140746098547927e+01	3.417324093757090e+03	6.342192805358161e+00	3.076760773715553e-02	-4.844222417660445e-05	7.673974164486918e-04
3.600000000000000e-01	0.000000000000000e+00	-4.369438581054351e-02	-1.602565547100172e-03	5.242971385076728e-03	5.508599493238673e+02	1.778062510575093e-02	3.496967499863494e-03	7.846799458653028e-01	-1.257705240633988e+00	-7.846804069061074e-01	-5.276165730730203e-05	1.176122257206074e-02	6.551262164826267e-03	3.772291943840665e+01	-4.258972422842977e+01	3.412059854348128e+03	6.279086927013799e+00	3.083606930465095e-02	-5.034711930673964e-05	8.091665397877929e-04
3.700000000000000e-01	0.000000000000000e+00	-4.390981941368106e-02	-1.600975981594149e-03	5.425111160832241e-03	5.511561799290259e+02	1.746591355710488e-02	3.547136087305019e-03	7.842644954379689e-01	-1.257665148198945e+00	-7.842442348226933e-01	-4.530164539556088e-05	1.289511796504600e-02	6.801086711253857e-03	3.882969747974821e+01	-4.377194467622201e+01	3.406793129741871e+03	6.216608964599738e+00	3.088347112848534e-02	-5.225260446353182e-05	8.516173134599796e-04
